Cuba
---------------
Erisbel Arruebarrena
Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Andy Ibáñez
Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
2021,TEX,AL,76,272,253,31,70,15,2,7,25,15,35,0,0,2,.277,.321,.435,.756
2022,TEX,AL,40,128,119,13,26,4,0,1,9,9,21,3,0,0,.218,.273,.277,.550
Yoán Moncada
Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
2020,CWS,AL,52,231,200,28,45,8,3,6,24,28,72,0,0,1,.225,.320,.385,.705
2021,CWS,AL,144,616,520,74,137,33,1,14,61,84,157,3,2,10,.263,.375,.412,.787
2022,CWS,AL,104,433,397,41,84,18,1,12,51,32,114,2,0,2,.212,.273,.353,.626
Yoenis Cespedes
Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
2020,NYM,NL,8,34,31,3,5,1,0,2,4,2,15,0,0,1,.161,.235,.387,.622
Luis Robert Jr.
Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
2020,CWS,AL,56,227,202,33,47,8,0,11,31,20,73,9,2,1,.233,.302,.436,.738
2021,CWS,AL,68,296,275,42,93,22,1,13,43,14,61,6,1,5,.338,.378,.567,.945
2022,CWS,AL,98,401,380,54,108,18,0,12,56,17,77,11,3,3,.284,.319,.426,.745
