Cuba
---------------
Ronald Bolaños
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,KC,AL,21,0,2,12.27,2,2,0,3.2,8,7,5,2,3,2,3.00
2021,KC,AL,25,0,0,1.42,3,0,0,6.1,4,1,1,0,2,10,0.95
2022,KC,AL,87,0,0,4.42,8,0,0,18.1,20,9,9,2,12,12,1.75
Roenis Elías
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2022,SEA,AL,33,0,0,3.52,7,0,0,7.2,7,3,3,1,3,6,1.30
Onelki Garcia
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
Jose Rodriguez
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,LAA,AL,8,0,0,0.00,1,0,0,1.2,2,0,0,0,1,0,1.80
Javier Assad
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2022,CHC,NL,166,2,2,3.11,9,8,0,37.2,35,14,13,4,20,30,1.46
Manny Barreda
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,BAL,AL,14,1,0,13.50,3,0,0,2.2,4,4,4,2,2,2,2.25
Luis Cessa
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,NYY,AL,93,0,0,3.32,16,0,1,21.2,20,10,8,2,7,17,1.25
2021,NYY,AL,161,3,1,2.82,29,0,0,38.1,31,17,12,2,17,31,1.25
2021,CIN,NL,100,2,1,2.05,24,0,0,26.1,24,7,6,3,2,23,0.99
2022,CIN,NL,336,4,4,4.57,46,10,0,80.2,76,44,41,14,28,59,1.29
Jesus Cruz
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,STL,NL,7,0,0,18.00,1,0,0,1.0,3,2,2,0,1,2,4.00
2022,ATL,NL,39,0,0,6.23,7,0,0,8.2,8,6,6,3,4,6,1.38
Giovanny Gallegos
Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,STL,NL,57,2,2,3.60,16,0,4,15.0,9,6,6,1,4,21,0.87
2021,STL,NL,310,6,5,3.02,73,0,14,80.1,51,28,27,6,20,95,0.88
2022,STL,NL,235,3,6,3.05,57,0,14,59.0,42,23,20,6,18,73,1.02
