Cuba
---------------
Elian Leyva
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
Miguel Romero
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,Las Vegas Aviators,PCL,AAA,3,6,6.27,28,13,2,74.2,86,56,52,15,34,54,1.61
2022,Las Vegas Aviators,PCL,AAA,2,1,7.76,38,2,0,53.1,72,48,46,9,30,32,1.91
Luis Mateo
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
Jaime Arias
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,Lynchburg Hillcats,CAR,A,8,4,3.81,23,9,2,87.1,67,40,37,12,15,111,0.94
2022,3 Teams,,Minors,1,5,5.98,29,15,0,81.1,93,56,54,11,33,74,1.55
2022,3 Teams,,Minors,1,5,5.98,29,15,0,81.1,93,56,54,11,33,74,1.55
2022,Lake County Captains,MID,A+,1,4,5.56,14,3,0,34.0,33,21,21,4,15,37,1.41
2022,Akron RubberDucks,EAS,AA,0,1,6.34,13,11,0,44.0,58,33,31,7,16,33,1.68
2022,Columbus Clippers,INT,AAA,0,0,5.40,2,1,0,3.1,2,2,2,0,2,4,1.20
Erubiel Armenta
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,3 Teams,,Minors,3,0,1.96,16,0,3,23.0,15,6,5,1,16,49,1.35
2021,Clearwater Threshers,FSL,A,2,0,0.00,4,0,1,6.2,3,0,0,0,4,17,1.05
2021,Jersey Shore BlueClaws,SAL,A+,0,0,3.14,11,0,2,14.1,11,6,5,1,11,30,1.53
2021,Reading Fightin Phils,EAS,AA,1,0,0.00,1,0,0,2.0,1,0,0,0,1,2,1.00
2022,Jersey Shore BlueClaws,SAL,A+,3,2,3.60,40,0,1,40.0,22,20,16,2,32,54,1.35
Victor Castaneda
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,2 Teams,,Minors,6,8,4.87,23,22,0,109.0,99,61,59,18,45,131,1.32
2021,Wisconsin Timber Rattlers,MID,A+,5,7,5.20,20,20,0,97.0,90,58,56,18,37,114,1.31
2021,Nashville Sounds,INT,AAA,1,1,2.25,3,2,0,12.0,9,3,3,0,8,17,1.42
2022,2 Teams,,Minors,6,6,4.10,26,25,0,120.2,111,61,55,17,52,118,1.35
2022,Biloxi Shuckers,SOU,AA,4,6,3.97,23,22,0,106.2,97,53,47,16,47,110,1.35
2022,Nashville Sounds,INT,AAA,2,0,5.14,3,3,0,14.0,14,8,8,1,5,8,1.36
Yeury Gervacio
Season,Tm,LG,L,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,2 Teams,,Minors,1,1,3.60,17,0,1,25.0,16,12,10,2,9,36,1.00
2021,ACL Indians,AZL,ROK,1,0,0.00,8,0,1,10.1,2,1,0,0,2,15,0.39
2021,Lynchburg Hillcats,CAR,A,0,1,6.14,9,0,0,14.2,14,11,10,2,7,21,1.43
2022,Lynchburg Hillcats,CAR,A,5,1,6.02,31,0,1,55.1,60,39,37,6,25,81,1.54
