Cuba
---------------
Frank Alvarez
Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
Raidel Martinez
Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
2020,Chunichi,40,2,0,21,7,9,0,0,1.000,155,40,24,2,12,1,49,2,0,5,5,1.13
2021,Chunichi,49,1,4,23,0,1,0,0,.200,178,48,26,1,10,1,59,1,1,11,11,2.06
2022,Chunichi,56,4,3,39,5,9,0,0,.571,213,55.2,30,2,12,4,62,0,0,6,6,0.97
Livan Moinelo
Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
2020,SoftBank,50,2,3,1,38,40,0,0,.400,193,48,26,1,25,2,77,0,0,9,9,1.69
2021,SoftBank,33,1,0,5,14,15,0,0,1.000,128,31.1,15,2,19,1,42,0,0,6,4,1.15
2022,SoftBank,53,1,1,24,8,9,0,0,.500,202,52.2,22,2,20,2,87,2,0,10,6,1.03
Yariel Rodriguez
Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
2020,Chunichi,11,3,4,0,0,0,0,0,.429,248,59,50,4,21,5,67,2,2,30,27,4.12
2021,Chunichi,12,1,4,0,0,0,0,0,.200,275,61.2,56,8,38,5,61,6,0,29,25,3.65
2022,Chunichi,56,6,2,0,39,45,0,0,.750,218,54.2,32,0,18,4,60,1,0,9,7,1.15
